AlAl
NiOs
NiIr
NiPt
NiAu
NiHg
NiTl
NiPb
NiBi
CuCu
CuZn
CuGa
CuGe
CuAs
CuSr
CuY
CuZr
CuNb
CuMo
CuRu
CuRh
CuPd
CuAg
CuCd
CuIn
CuSn
CuSb
CuBa
CuHf
CuTa
CuW
CuRe
CuOs
CuIr
CuPt
CuAu
CuHg
CuTl
CuPb
CuBi
ZnZn
ZnGa
ZnGe
ZnAs
ZnSr
ZnY
ZnZr
ZnNb
ZnMo
ZnRu
ZnRh
ZnPd
ZnAg
ZnCd
ZnIn
ZnSn
ZnSb
ZnBa
ZnHf
ZnTa
ZnW
ZnRe
ZnOs
ZnIr
ZnPt
ZnAu
ZnHg
ZnTl
ZnPb
ZnBi
GaGa
GaGe
GaAs
GaSr
GaY
GaZr
GaNb
GaMo
GaRu
GaRh
GaPd
GaAg
GaCd
GaIn
GaSn
GaSb
GaBa
GaHf
GaTa
GaW
GaRe
GaOs
GaIr
GaPt
GaAu
GaHg
GaTl
GaPb
GaBi
GeGe
GeAs
GeSr
GeY
GeZr
GeNb
GeMo
GeRu
GeRh
GePd
GeAg
GeCd
GeIn
GeSn
GeSb
GeBa
GeHf
GeTa
GeW
GeRe
GeOs
GeIr
GePt
GeAu
GeHg
GeTl
GePb
GeBi
AsAs
AsSr
AsY
AsZr
AsNb
AsMo
AsRu
AsRh
AsPd
AsAg
AsCd
AsIn
AsSn
AsSb
AsBa
AsHf
AsTa
AsW
AsRe
AsOs
AsIr
AsPt
AsAu
AsHg
AsTl
AsPb
AsBi
SrSr
SrY
SrZr
SrNb
SrMo
SrRu
SrRh
SrPd
SrAg
SrCd
SrIn
SrSn
SrSb
SrBa
SrHf
SrTa
SrW
SrRe
SrOs
SrIr
SrPt
SrAu
SrHg
SrTl
SrPb
SrBi
YY
YZr
YNb
YMo
YRu
YRh
YPd
YAg
YCd
YIn
YSn
YSb
YBa
YHf
YTa
YW
YRe
YOs
YIr
YPt
YAu
YHg
YTl
YPb
YBi
ZrZr
ZrNb
ZrMo
ZrRu
ZrRh
ZrPd
ZrAg
ZrCd
ZrIn
ZrSn
ZrSb
ZrBa
ZrHf
ZrTa
ZrW
ZrRe
ZrOs
ZrIr
ZrPt
ZrAu
ZrHg
ZrTl
ZrPb
ZrBi
NbNb
NbMo
NbRu
NbRh
NbPd
NbAg
NbCd
NbIn
NbSn
NbSb
NbBa
NbHf
NbTa
NbW
NbRe
NbOs
NbIr
NbPt
NbAu
NbHg
NbTl
NbPb
NbBi
MoMo
MoRu
MoRh
MoPd
MoAg
MoCd
MoIn
MoSn
MoSb
MoBa
MoHf
MoTa
MoW
MoRe
MoOs
MoIr
MoPt
MoAu
MoHg
MoTl
MoPb
MoBi
RuRu
RuRh
RuPd
RuAg
RuCd
RuIn
RuSn
RuSb
RuBa
RuHf
RuTa
RuW
RuRe
RuOs
RuIr
RuPt
RuAu
RuHg
RuTl
RuPb
RuBi
RhRh
RhPd
RhAg
RhCd
RhIn
RhSn
RhSb
RhBa
RhHf
RhTa
RhW
RhRe
RhOs
RhIr
RhPt
RhAu
RhHg
RhTl
RhPb
RhBi
PdPd
PdAg
PdCd
PdIn
PdSn
PdSb
PdBa
PdHf
PdTa
PdW
PdRe
PdOs
PdIr
PdPt
PdAu
PdHg
PdTl
PdPb
PdBi
AgAg
AgCd
AgIn
AgSn
AgSb
AgBa
AgHf
AgTa
AgW
AgRe
AgOs
AgIr
AgPt
AgAu
AgHg
AgTl
AgPb
AgBi
CdCd
CdIn
CdSn
CdSb
CdBa
CdHf
CdTa
CdW
CdRe
CdOs
CdIr
CdPt
CdAu
CdHg
CdTl
CdPb
CdBi
InIn
InSn
InSb
InBa
InHf
InTa
InW
InRe
InOs
InIr
InPt
InAu
InHg
InTl
InPb
InBi
SnSn
SnSb
SnBa
SnHf
SnTa
SnW
SnRe
SnOs
SnIr
SnPt
SnAu
SnHg
SnTl
SnPb
SnBi
SbSb
SbBa
SbHf
SbTa
SbW
SbRe
SbOs
SbIr
SbPt
SbAu
SbHg
SbTl
SbPb
SbBi
BaBa
BaHf
BaTa
BaW
BaRe
BaOs
BaIr
BaPt
BaAu
BaHg
BaTl
BaPb
BaBi
HfHf
HfTa
HfW
HfRe
HfOs
HfIr
HfPt
HfAu
HfHg
HfTl
HfPb
HfBi
TaTa
TaW
TaRe
TaOs
TaIr
TaPt
TaAu
TaHg
TaTl
TaPb
TaBi
WW
WRe
WOs
WIr
WPt
WAu
WHg
WTl
WPb
WBi
ReRe
ReOs
ReIr
RePt
ReAu
ReHg
ReTl
RePb
ReBi
OsOs
OsIr
OsPt
OsAu
OsHg
OsTl
OsPb
OsBi
IrIr
IrPt
IrAu
IrHg
IrTl
IrPb
IrBi
PtPt
PtAu
PtHg
PtTl
PtPb
PtBi
AuAu
AuHg
AuTl
AuPb
AuBi
HgHg
HgTl
HgPb
HgBi
TlTl
TlPb
TlBi
PbPb
PbBi
BiBi
