HHHH
HBrBrTe
HBrBrI
HTeBrTe
HTeBrI
HIBrI
HHTeTe
HHTeI
HNTeN
HNTeO
HNTeF
HNTeS
HNTeCl
HNTeSe
HNTeBr
HNTeTe
HNTeI
HOTeO
HOTeF
HOTeS
HOTeCl
HOTeSe
HOTeBr
HOTeTe
HOTeI
HFTeF
HFTeS
HFTeCl
HFTeSe
HFTeBr
HFTeTe
HFTeI
HSTeS
HSTeCl
HSTeSe
HSTeBr
HSTeTe
HSTeI
HClTeCl
HClTeSe
HClTeBr
HClTeTe
HClTeI
HSeTeSe
HSeTeBr
HSeTeTe
HSeTeI
HBrTeBr
HBrTeTe
HBrTeI
HTeTeTe
HTeTeI
HITeI
HHII
HNIN
HNIO
HNIF
HNIS
HNICl
HNISe
HNIBr
HNITe
HNII
HOIO
HOIF
HOIS
HOICl
HOISe
HOIBr
HOITe
HOII
HFIF
HFIS
HFICl
HFISe
HFIBr
HFITe
HFII
HSIS
HSICl
HSISe
HSIBr
HSITe
HSII
HClICl
HClISe
HClIBr
HClITe
HClII
HSeISe
HSeIBr
HSeITe
HSeII
HBrIBr
HBrITe
HBrII
HTeITe
HTeII
HIII
NNNN
NNNO
NNNF
NNNS
NNNCl
NNNSe
NNNBr
NNNTe
NNNI
NONO
NONF
NONS
NONCl
NONSe
NONBr
NONTe
NONI
NFNF
NFNS
NFNCl
NFNSe
NFNBr
NFNTe
NFNI
NSNS
NSNCl
NSNSe
NSNBr
NSNTe
NSNI
NClNCl
NClNSe
NClNBr
NClNTe
NClNI
NSeNSe
NSeNBr
NSeNTe
NSeNI
NBrNBr
NBrNTe
NBrNI
NTeNTe
NTeNI
NINI
NNOO
NNOF
NNOS
NNOCl
NNOSe
NNOBr
NNOTe
NNOI
NOOO
NOOF
NOOS
NOOCl
NOOSe
NOOBr
NOOTe
NOOI
NFOF
NFOS
NFOCl
NFOSe
NFOBr
NFOTe
NFOI
NSOS
NSOCl
NSOSe
NSOBr
NSOTe
NSOI
NClOCl
NClOSe
NClOBr
NClOTe
NClOI
NSeOSe
NSeOBr
NSeOTe
NSeOI
NBrOBr
NBrOTe
NBrOI
NTeOTe
NTeOI
NIOI
NNFF
NNFS
NNFCl
NNFSe
NNFBr
NNFTe
NNFI
NOFO
NOFF
NOFS
NOFCl
NOFSe
NOFBr
NOFTe
NOFI
NFFF
NFFS
NFFCl
NFFSe
NFFBr
NFFTe
NFFI
NSFS
NSFCl
NSFSe
NSFBr
NSFTe
NSFI
NClFCl
NClFSe
NClFBr
NClFTe
NClFI
NSeFSe
NSeFBr
NSeFTe
NSeFI
NBrFBr
NBrFTe
NBrFI
NTeFTe
NTeFI
NIFI
NNSS
NNSCl
NNSSe
NNSBr
NNSTe
NNSI
NOSO
NOSF
NOSS
NOSCl
NOSSe
NOSBr
NOSTe
NOSI
NFSF
NFSS
NFSCl
NFSSe
NFSBr
NFSTe
NFSI
NSSS
NSSCl
NSSSe
NSSBr
NSSTe
NSSI
NClSCl
NClSSe
NClSBr
NClSTe
NClSI
NSeSSe
NSeSBr
NSeSTe
NSeSI
NBrSBr
NBrSTe
NBrSI
NTeSTe
NTeSI
NISI
NNClCl
NNClSe
NNClBr
NNClTe
NNClI
NOClO
NOClF
NOClS
NOClCl
NOClSe
NOClBr
NOClTe
NOClI
NFClF
NFClS
NFClCl
NFClSe
NFClBr
NFClTe
NFClI
NSClS
NSClCl
NSClSe
NSClBr
NSClTe
NSClI
NClClCl
NClClSe
NClClBr
NClClTe
NClClI
NSeClSe
NSeClBr
NSeClTe
NSeClI
NBrClBr
NBrClTe
NBrClI
NTeClTe
NTeClI
NIClI
NNSeSe
NNSeBr
NNSeTe
NNSeI
NOSeO
NOSeF
NOSeS
NOSeCl
NOSeSe
NOSeBr
NOSeTe
NOSeI
NFSeF
NFSeS
NFSeCl
NFSeSe
NFSeBr
NFSeTe
NFSeI
NSSeS
NSSeCl
NSSeSe
NSSeBr
NSSeTe
NSSeI
NClSeCl
NClSeSe
NClSeBr
NClSeTe
NClSeI
NSeSeSe
NSeSeBr
NSeSeTe
NSeSeI
NBrSeBr
NBrSeTe
NBrSeI
NTeSeTe
NTeSeI
NISeI
NNBrBr
NNBrTe
NNBrI
NOBrO
NOBrF
NOBrS
NOBrCl
NOBrSe
NOBrBr
NOBrTe
NOBrI
NFBrF
NFBrS
NFBrCl
NFBrSe
NFBrBr
NFBrTe
NFBrI
NSBrS
NSBrCl
NSBrSe
NSBrBr
NSBrTe
NSBrI
NClBrCl
NClBrSe
NClBrBr
NClBrTe
NClBrI
NSeBrSe
NSeBrBr
NSeBrTe
NSeBrI
NBrBrBr
NBrBrTe
NBrBrI
NTeBrTe
NTeBrI
NIBrI
NNTeTe
NNTeI
NOTeO
NOTeF
NOTeS
NOTeCl
NOTeSe
NOTeBr
NOTeTe
NOTeI
NFTeF
NFTeS
NFTeCl
NFTeSe
NFTeBr
NFTeTe
NFTeI
NSTeS
NSTeCl
NSTeSe
NSTeBr
NSTeTe
NSTeI
NClTeCl
NClTeSe
NClTeBr
NClTeTe
NClTeI
NSeTeSe
NSeTeBr
NSeTeTe
NSeTeI
NBrTeBr
NBrTeTe
NBrTeI
NTeTeTe
NTeTeI
NITeI
NNII
NOIO
NOIF
NOIS
NOICl
NOISe
NOIBr
NOITe
NOII
NFIF
NFIS
NFICl
NFISe
NFIBr
NFITe
NFII
NSIS
NSICl
NSISe
NSIBr
NSITe
NSII
NClICl
NClISe
NClIBr
NClITe
NClII
NSeISe
NSeIBr
NSeITe
NSeII
NBrIBr
NBrITe
NBrII
NTeITe
NTeII
NIII
OOOO
OOOF
OOOS
OOOCl
OOOSe
OOOBr
OOOTe
OOOI
OFOF
OFOS
OFOCl
OFOSe
OFOBr
OFOTe
OFOI
OSOS
OSOCl
OSOSe
OSOBr
OSOTe
OSOI
OClOCl
OClOSe
OClOBr
OClOTe
OClOI
OSeOSe
OSeOBr
OSeOTe
OSeOI
OBrOBr
OBrOTe
OBrOI
OTeOTe
OTeOI
OIOI
OOFF
OOFS
OOFCl
OOFSe
OOFBr
OOFTe
OOFI
OFFF
OFFS
OFFCl
OFFSe
OFFBr
OFFTe
OFFI
OSFS
OSFCl
OSFSe
OSFBr
OSFTe
OSFI
OClFCl
OClFSe
OClFBr
OClFTe
OClFI
OSeFSe
OSeFBr
OSeFTe
OSeFI
OBrFBr
OBrFTe
OBrFI
OTeFTe
OTeFI
OIFI
OOSS
OOSCl
OOSSe
OOSBr
OOSTe
OOSI
OFSF
OFSS
OFSCl
OFSSe
OFSBr
OFSTe
OFSI
OSSS
OSSCl
OSSSe
OSSBr
OSSTe
OSSI
OClSCl
OClSSe
OClSBr
OClSTe
OClSI
OSeSSe
OSeSBr
OSeSTe
OSeSI
OBrSBr
OBrSTe
OBrSI
OTeSTe
OTeSI
OISI
OOClCl
OOClSe
OOClBr
OOClTe
OOClI
OFClF
OFClS
OFClCl
OFClSe
OFClBr
OFClTe
OFClI
OSClS
OSClCl
OSClSe
OSClBr
OSClTe
OSClI
OClClCl
OClClSe
OClClBr
OClClTe
OClClI
OSeClSe
OSeClBr
OSeClTe
OSeClI
OBrClBr
OBrClTe
OBrClI
OTeClTe
OTeClI
OIClI
OOSeSe
OOSeBr
OOSeTe
OOSeI
OFSeF
OFSeS
OFSeCl
OFSeSe
OFSeBr
OFSeTe
OFSeI
OSSeS
OSSeCl
OSSeSe
OSSeBr
OSSeTe
OSSeI
OClSeCl
OClSeSe
OClSeBr
OClSeTe
OClSeI
OSeSeSe
OSeSeBr
OSeSeTe
OSeSeI
OBrSeBr
OBrSeTe
OBrSeI
OTeSeTe
OTeSeI
OISeI
OOBrBr
OOBrTe
OOBrI
OFBrF
OFBrS
OFBrCl
OFBrSe
OFBrBr
OFBrTe
OFBrI
OSBrS
OSBrCl
OSBrSe
OSBrBr
OSBrTe
OSBrI
OClBrCl
OClBrSe
OClBrBr
OClBrTe
OClBrI
OSeBrSe
OSeBrBr
OSeBrTe
OSeBrI
OBrBrBr
OBrBrTe
OBrBrI
OTeBrTe
OTeBrI
OIBrI
OOTeTe
OOTeI
OFTeF
OFTeS
OFTeCl
OFTeSe
OFTeBr
OFTeTe
OFTeI
OSTeS
OSTeCl
OSTeSe
OSTeBr
OSTeTe
OSTeI
OClTeCl
OClTeSe
OClTeBr
OClTeTe
OClTeI
OSeTeSe
OSeTeBr
OSeTeTe
OSeTeI
OBrTeBr
OBrTeTe
OBrTeI
OTeTeTe
OTeTeI
OITeI
OOII
OFIF
OFIS
OFICl
OFISe
OFIBr
OFITe
OFII
OSIS
OSICl
OSISe
OSIBr
OSITe
OSII
OClICl
OClISe
OClIBr
OClITe
OClII
OSeISe
OSeIBr
OSeITe
OSeII
OBrIBr
OBrITe
OBrII
OTeITe
OTeII
OIII
FFFF
FFFS
FFFCl
FFFSe
FFFBr
FFFTe
FFFI
FSFS
FSFCl
FSFSe
FSFBr
FSFTe
FSFI
FClFCl
FClFSe
FClFBr
FClFTe
FClFI
FSeFSe
FSeFBr
FSeFTe
FSeFI
FBrFBr
FBrFTe
FBrFI
FTeFTe
FTeFI
FIFI
FFSS
FFSCl
FFSSe
FFSBr
FFSTe
FFSI
FSSS
FSSCl
FSSSe
FSSBr
FSSTe
FSSI
FClSCl
FClSSe
FClSBr
FClSTe
FClSI
FSeSSe
FSeSBr
FSeSTe
FSeSI
FBrSBr
FBrSTe
FBrSI
FTeSTe
FTeSI
FISI
FFClCl
FFClSe
FFClBr
FFClTe
FFClI
FSClS
FSClCl
FSClSe
FSClBr
FSClTe
FSClI
FClClCl
FClClSe
FClClBr
FClClTe
FClClI
FSeClSe
FSeClBr
FSeClTe
FSeClI
FBrClBr
FBrClTe
FBrClI
FTeClTe
FTeClI
FIClI
FFSeSe
FFSeBr
FFSeTe
FFSeI
FSSeS
FSSeCl
FSSeSe
FSSeBr
FSSeTe
FSSeI
FClSeCl
FClSeSe
FClSeBr
FClSeTe
FClSeI
FSeSeSe
FSeSeBr
FSeSeTe
FSeSeI
FBrSeBr
FBrSeTe
FBrSeI
FTeSeTe
FTeSeI
FISeI
FFBrBr
FFBrTe
FFBrI
FSBrS
FSBrCl
FSBrSe
FSBrBr
FSBrTe
FSBrI
FClBrCl
FClBrSe
FClBrBr
FClBrTe
FClBrI
FSeBrSe
FSeBrBr
FSeBrTe
FSeBrI
FBrBrBr
FBrBrTe
FBrBrI
FTeBrTe
FTeBrI
FIBrI
FFTeTe
FFTeI
FSTeS
FSTeCl
FSTeSe
FSTeBr
FSTeTe
FSTeI
FClTeCl
FClTeSe
FClTeBr
FClTeTe
FClTeI
FSeTeSe
FSeTeBr
FSeTeTe
FSeTeI
FBrTeBr
FBrTeTe
FBrTeI
FTeTeTe
FTeTeI
FITeI
FFII
FSIS
FSICl
FSISe
FSIBr
FSITe
FSII
FClICl
FClISe
FClIBr
FClITe
FClII
FSeISe
FSeIBr
FSeITe
FSeII
FBrIBr
FBrITe
FBrII
FTeITe
FTeII
FIII
SSSS
SSSCl
SSSSe
SSSBr
SSSTe
SSSI
SClSCl
SClSSe
SClSBr
SClSTe
SClSI
SSeSSe
SSeSBr
SSeSTe
SSeSI
SBrSBr
SBrSTe
SBrSI
STeSTe
STeSI
SISI
SSClCl
SSClSe
SSClBr
SSClTe
SSClI
SClClCl
SClClSe
SClClBr
SClClTe
SClClI
SSeClSe
SSeClBr
SSeClTe
SSeClI
SBrClBr
SBrClTe
SBrClI
STeClTe
STeClI
SIClI
SSSeSe
SSSeBr
SSSeTe
SSSeI
SClSeCl
SClSeSe
SClSeBr
SClSeTe
SClSeI
SSeSeSe
SSeSeBr
SSeSeTe
SSeSeI
SBrSeBr
SBrSeTe
SBrSeI
STeSeTe
STeSeI
SISeI
SSBrBr
SSBrTe
SSBrI
SClBrCl
SClBrSe
SClBrBr
SClBrTe
SClBrI
SSeBrSe
SSeBrBr
SSeBrTe
SSeBrI
SBrBrBr
SBrBrTe
SBrBrI
STeBrTe
STeBrI
SIBrI
SSTeTe
SSTeI
SClTeCl
SClTeSe
SClTeBr
SClTeTe
SClTeI
SSeTeSe
SSeTeBr
SSeTeTe
SSeTeI
SBrTeBr
SBrTeTe
SBrTeI
STeTeTe
STeTeI
SITeI
SSII
SClICl
SClISe
SClIBr
SClITe
SClII
SSeISe
SSeIBr
SSeITe
SSeII
SBrIBr
SBrITe
SBrII
STeITe
STeII
SIII
ClClClCl
ClClClSe
ClClClBr
ClClClTe
ClClClI
ClSeClSe
ClSeClBr
ClSeClTe
ClSeClI
ClBrClBr
ClBrClTe
ClBrClI
ClTeClTe
ClTeClI
ClIClI
ClClSeSe
ClClSeBr
ClClSeTe
ClClSeI
ClSeSeSe
ClSeSeBr
ClSeSeTe
ClSeSeI
ClBrSeBr
ClBrSeTe
ClBrSeI
ClTeSeTe
ClTeSeI
ClISeI
ClClBrBr
ClClBrTe
ClClBrI
ClSeBrSe
ClSeBrBr
ClSeBrTe
ClSeBrI
ClBrBrBr
ClBrBrTe
ClBrBrI
ClTeBrTe
ClTeBrI
ClIBrI
ClClTeTe
ClClTeI
ClSeTeSe
ClSeTeBr
ClSeTeTe
ClSeTeI
ClBrTeBr
ClBrTeTe
ClBrTeI
ClTeTeTe
ClTeTeI
ClITeI
ClClII
ClSeISe
ClSeIBr
ClSeITe
ClSeII
ClBrIBr
ClBrITe
ClBrII
ClTeITe
ClTeII
ClIII
SeSeSeSe
SeSeSeBr
SeSeSeTe
SeSeSeI
SeBrSeBr
SeBrSeTe
SeBrSeI
SeTeSeTe
SeTeSeI
SeISeI
SeSeBrBr
SeSeBrTe
SeSeBrI
SeBrBrBr
SeBrBrTe
SeBrBrI
SeTeBrTe
SeTeBrI
SeIBrI
SeSeTeTe
SeSeTeI
SeBrTeBr
SeBrTeTe
SeBrTeI
SeTeTeTe
SeTeTeI
SeITeI
SeSeII
SeBrIBr
SeBrITe
SeBrII
SeTeITe
SeTeII
SeIII
BrBrBrBr
BrBrBrTe
BrBrBrI
BrTeBrTe
BrTeBrI
BrIBrI
BrBrTeTe
BrBrTeI
BrTeTeTe
BrTeTeI
BrITeI
BrBrII
BrTeITe
BrTeII
BrIII
TeTeTeTe
TeTeTeI
TeITeI
TeTeII
TeIII
IIII
